name;color
Nitrososphaeraceae;#FFFF33
Alteromonadaceae;#A65628
Zymomonadaceae;#F781BF
Cellulomonadaceae;#E41A1C
Alicyclobacillaceae;#66C2A5
Leptotrichiaceae;#FC8D62
Dietziaceae;#8DA0CB
Paracoccaceae;#66C2A5
Desulfitobacteriaceae;#FC8D62
Pseudolysobacter;#CCEBC5
Paludibacterium;#BC80BD
Novosphingobium;#FFED6F
Georhizobium;#CAB2D6
Herbaspirillum;#FDCDAC
Tistrella;#D9D9D9
Porphyrobacter;#00588B
Rhizobacter;#006490
Plantactinospora;#007094
